layer,layer_role,n_samples,mean_projection_positive,mean_projection_negative,projection_gap,threshold_zero_accuracy,roc_auc,spearman_with_logit_margin,pearson_with_logit_margin
0,embedding,100,0.13148637,-0.22232224,0.3538086,0.6,0.647859143657463,0.23721541477975916,0.2810934
1,early,100,0.060950026,-0.10473732,0.16568735,0.61,0.6978791516606643,0.3247644764476447,0.28401533
2,early,100,0.14804804,-0.14571238,0.29376042,0.63,0.7218887555022008,0.4195379537953795,0.23903872
3,early,100,0.07345385,-0.07329219,0.14674604,0.66,0.7402961184473789,0.4275427542754275,0.20348717
4,early,100,0.025159016,-0.026140338,0.051299356,0.71,0.7699079631852742,0.46582658265826576,0.32132933
5,middle,100,0.025200857,-0.013521931,0.038722787,0.61,0.6702681072428972,0.32362436243624354,0.25487024
6,middle,100,0.012564805,-0.012662559,0.025227364,0.76,0.8651460584233693,0.7472907290729072,0.67232895
7,middle,100,0.032603856,-0.029905822,0.06250968,0.79,0.8971588635454181,0.8078727872787278,0.7610286
8,primary_candidate,100,0.21016826,-0.16393566,0.3741039,0.88,0.9407763105242097,0.8734713471347134,0.8209976
9,primary_candidate,100,0.8116175,-0.6859293,1.4975468,0.89,0.9611844737895159,0.971005100510051,0.9447033
10,middle,100,2.952188,-2.8823845,5.834573,0.88,0.9543817527010805,0.9840984098409841,0.97147065
11,middle,100,6.38193,-6.905211,13.287141,0.89,0.943577430972389,0.9247284728472847,0.9771257
12,final_reference,100,9.173184,-9.680794,18.853977,0.88,0.959983993597439,0.9869186918691868,0.9994125
